Rk,Nation,Squad,Age,Born,90s,Gls,Sh.2,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,FianlThirdPass,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh.1,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd.1,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,FinalThirdPos,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Pos
21,eng ENG,Southampton,25,1997,14.8,0.14,1.69,0.81,48,1.69,0.81,0.08,0.17,15.9,0,0,0,0.14,0.14,0.08,-0.01,-0.01,14.9,20.4,72.8,218.6,39.5,8.11,9.86,82.2,4.8,6.01,79.8,0.88,1.55,56.5,0.07,0.09,0.05,-0.02,0.74,0.88,0.68,0.14,1.08,20.4,18,2.36,0,0,0.27,0.95,0.2,0,0,0,0,14.9,0,1.42,1.62,1.62,1.28,0,0.14,0.07,0.07,0.07,0.14,0.13,0.07,0,0,0,0,0.07,0.95,0.61,0.41,0.34,0.2,0.2,0.68,30,0.47,1.01,0.2,0.81,0.34,1.28,0.41,0,30.9,0.74,4.8,11.9,15,3.11,30.9,2.91,0.88,30.2,1.69,58.1,17.2,158,67.3,2.64,1.96,0.74,1.62,1.49,18.4,4.73,0.14,0,0,1.15,0.61,0.14,0.95,0.34,0.61,0,0,0,3.65,0.34,1.42,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
22,sct SCO,Southampton,30,1992,15.6,0.13,1.47,0.38,26.1,1.47,0.38,0.09,0.33,17.9,0,0,0,0.15,0.15,0.1,-0.03,-0.03,34,43.3,78.6,515.4,142.6,19,21.9,86.8,12.1,14.5,83.6,1.86,3.53,52.7,0.06,0.14,0.18,-0.08,1.15,3.01,2.05,0.45,4.81,43.3,40.6,2.56,0.26,0.19,0.19,2.37,0.9,0.13,0,0.13,0,34,0.13,1.54,3.21,3.2,2.5,0.06,0,0.38,0.26,0,0.13,0.13,0.06,0,0,0,0.06,0,2.05,1.35,0.96,0.83,0.26,0.9,2.5,35.9,1.6,1.15,0,1.15,0.64,2.69,0.58,0.13,55.4,1.35,8.53,25.8,21.9,2.37,55.4,3.33,1.41,42.3,1.35,40.4,34.6,247.4,122.4,3.91,2.88,0.64,1.79,1.79,38.2,5.64,0.38,0,0,1.09,1.28,0.06,2.37,0.64,1.35,0,0,0,5.32,0.38,0.51,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
23,es ESP,Chelsea,27,1994,28.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,30.6,36.7,83.3,677.2,401.7,10.1,10.1,99.3,13.7,13.9,98.7,6.67,12.5,53.2,0,0,0,0,0,0.21,0,0,0,36.7,28.2,8.46,2.07,0,0.11,0,0,0,0,0,0,30.6,0,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0,0,0.07,0.11,66.7,0.04,0,0,0,0.04,0.11,0.56,0.07,39.3,31.3,38.7,0.56,0,0,39.3,0.04,0.04,100,0,0,22.9,101.5,59.1,0,0,0,0.04,0,21.2,0,0.04,0,0,0,0.28,0,0,0.04,0.07,0,0,0,1.47,0.39,0.04,91.7,1.16,0.04,0.04,0.14,0.11,1.23,0.29,0.18,0.18,2.39,7.47,31.9,30.3,5.3,17.1,26.3,6.39,35.7,31.5,11.6,0.53,4.5,1.82,1.82,16.9,GK
24,ci CIV,Nott'ham Forest,29,1992,21.6,0.05,0.42,0.14,33.3,0.42,0.14,0.11,0.33,16.2,0,0,0,0.04,0.04,0.09,0.01,0.01,30.9,43.7,70.7,471.4,203.4,17.3,21,82.2,10.9,15.4,70.9,1.9,4.35,43.6,0,0.05,0.04,-0.05,0.46,2.04,0.6,0.28,3.29,43.7,35.1,8.47,0.74,0.05,0,1.85,7.73,0,0,0,0,30.9,0.09,1.3,1.2,1.2,0.97,0.09,0,0,0.09,0.05,0.05,0.05,0,0.05,0,0,0,0,2.96,1.9,1.9,0.83,0.23,1.06,1.53,69.7,0.46,1.57,0.51,1.06,1.34,4.31,3.47,0,57.3,4.95,22.4,23.4,12.2,0.6,57.3,1.48,0.74,50,0.51,34.4,24.1,110.8,64.7,1.71,1.2,0.09,1.44,0.83,26.6,2.31,0.09,0,0,0.83,0.88,0,1.85,1.34,1.9,0,0,0,5.83,2.13,1.48,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
25,ng NGA,Nott'ham Forest,24,1997,15.6,0.64,2.24,0.96,42.9,2.24,0.96,0.29,0.67,11.8,0,0,0,0.42,0.42,0.19,0.22,0.22,9.17,14.3,64.1,107.4,19.2,6.15,8.53,72.2,2.18,3.33,65.4,0.13,0.51,25,0.06,0.07,0.02,-0.01,0.64,0.38,0.13,0,0.77,14.3,14.1,0.19,0,0.13,0.06,0.19,0.06,0,0,0,0,9.17,0,0.58,1.6,1.6,1.15,0,0.13,0.13,0.13,0.06,0.26,0.26,0.13,0,0.06,0.06,0,0,1.09,0.64,0.13,0.64,0.32,0.38,0.77,50,0.38,1.15,0.26,0.9,0.26,1.35,1.28,0,27.8,1.41,3.97,11.3,13,3.53,27.8,1.47,0.58,39.1,0.71,47.8,15.8,81.3,34,1.15,0.83,0.58,4.36,1.86,18.2,3.53,0.13,0,0,1.54,1.22,0.96,0.19,0.26,0.64,0,0,0,3.59,1.28,3.91,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
26,gh GHA,Crystal Palace,30,1991,30.2,0.13,1.06,0.33,31.3,1.06,0.33,0.13,0.4,16.1,0,0,0,0.11,0.11,0.1,0.03,0.03,22.4,29,77.3,288.4,56.5,14.4,16.4,87.7,6.36,8.15,78,0.5,1.32,37.5,0.1,0.11,0.09,-0.01,1.03,1.13,0.63,0.2,2.09,29,28.5,0.43,0.1,0.17,0.03,1.42,0.3,0,0,0,0,22.4,0.07,1.13,2.58,2.59,1.75,0,0.3,0.2,0.23,0.1,0.26,0.27,0.17,0,0.03,0.03,0.03,0,2.19,1.36,0.76,0.66,0.76,0.7,1.75,39.6,1.06,1.16,0.13,1.03,0.5,2.68,1.03,0,43.9,1.52,6.36,20.2,18.5,3.25,43.9,4.93,2.15,43.6,1.95,39.6,26.5,172,78.5,2.75,1.66,1.03,3.54,2.75,30.9,5.76,0.17,0,0,1.59,2.98,0.13,1.42,0.5,1.36,0,0,0,5.5,1.66,3.05,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
27,eng ENG,Leeds United,30,1991,22.8,0.09,1.05,0.22,20.8,1.05,0.22,0.08,0.4,15.1,0,0,0,0.14,0.14,0.13,-0.05,-0.05,34.5,49.6,69.4,549.3,273.5,19.3,22.3,86.4,11.7,16.4,71.4,2.72,6.8,40,0.04,0.09,0.1,-0.04,0.53,2.68,0.79,0.44,3.38,49.6,40,9.3,0.96,0,0.48,2.72,8.33,0,0,0,0,34.5,0.35,2.02,1.75,1.75,1.45,0,0,0.13,0.09,0.09,0.04,0.04,0.04,0,0,0,0,0,2.89,1.62,1.84,0.66,0.39,1.84,3.73,49.4,1.89,1.49,0.48,1.01,1.14,4.04,2.28,0.09,62,3.46,20.4,25.4,17.1,2.46,62,1.45,0.57,39.4,0.75,51.5,28.4,130,64.9,1.23,0.88,0.18,1.01,0.53,30.7,4.39,0.13,0,0,0.66,1.54,0.04,2.72,1.14,1.62,0,0.04,0,6.67,2.06,2.5,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
28,es ESP,Chelsea,32,1989,17,0,0.53,0.06,11.1,0.53,0.06,0,0,18.2,0,0,0,0.02,0.02,0.05,-0.02,-0.02,51.3,62.6,81.9,758.3,256.1,29.5,31.6,93.1,19.8,24.4,81.4,1.24,4.35,28.4,0,0.06,0.08,-0.06,0.71,2.35,1.12,0.29,4.18,62.6,52.5,9.94,1.76,0,0,1.53,8.18,0,0,0,0,51.3,0.18,0.82,1.47,1.47,1.47,0,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0,2.53,1.47,1.35,0.88,0.29,1.29,2.18,59.5,0.88,1.53,0.29,1.24,1.12,3.65,3.18,0.06,73.2,4.94,24.9,30,18.8,1.47,73.2,0.76,0.41,53.8,0.29,38.5,36,158.3,92.5,1.35,1.12,0,0.71,0.29,44.3,4.76,0.18,0,0,1.59,0.41,0.12,1.53,1.12,1.47,0,0,0.06,3.47,1.71,1.12,60.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
29,fr FRA,Chelsea,21,2001,10.1,0.1,0.59,0.2,33.3,0.6,0.2,0.17,0.5,7.2,0,0,0,0.12,0.12,0.2,-0.02,-0.02,76.1,85.1,89.4,1392.2,509.9,28.1,31.2,90.2,41.5,44.4,93.5,5.74,8.22,69.9,0,0.05,0.02,-0.05,0.3,4.65,0.5,0,5.54,85.1,83.2,1.88,1.68,0.1,0.59,0.2,0.2,0,0,0,0,76.1,0.1,0.4,1.19,1.19,1.09,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.39,0.79,0.99,0.4,0,0.89,1.39,64.3,0.5,0.5,0.2,0.3,1.58,2.97,3.37,0.1,93.6,9.41,46.4,45.3,2.48,1.09,93.6,0.3,0.1,33.3,0.2,66.7,62.4,299,175.6,1.09,0.2,0,0.2,0.3,68.2,0.2,0.2,0,0,0.89,0.59,0,0.2,1.58,0.79,0,0,0,7.52,3.47,1.39,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
30,jm JAM,Aston Villa,24,1997,21.9,0.18,2.33,0.64,27.5,2.33,0.64,0.08,0.29,18.1,0.14,0,0,0.24,0.24,0.1,-0.06,-0.06,15.4,25,61.6,245.6,58.7,8.68,11.3,76.6,4.43,7.03,63,1.6,3.42,46.7,0.18,0.22,0.22,-0.04,1.37,0.87,0.96,0.68,1.28,25,23.2,1.83,0.18,0.18,0.23,4.38,0.46,0.82,0.59,0,0,15.4,0,1.42,2.83,2.84,1.83,0.09,0.46,0.32,0.14,0,0.37,0.37,0.23,0,0,0.14,0,0,0.64,0.27,0.27,0.32,0.05,0.23,0.91,25,0.68,0.59,0,0.59,0.27,0.91,0.55,0,37.1,0.73,4.16,12.9,20.8,4.06,37.1,5.11,1.87,36.6,2.51,49.1,23.8,183.9,77.9,3.88,1.51,1.74,2.19,2.42,25.6,8.31,0.18,0,0,1.32,1,0.41,4.38,0.27,0.27,0,0.05,0,3.29,1.1,2.1,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
31,eng ENG,Leeds United,28,1993,16.8,0.24,2.86,0.95,33.3,2.85,0.95,0.08,0.25,14.7,0.06,0,0.12,0.51,0.41,0.15,-0.27,-0.17,13.6,19.8,68.8,144.1,32,9.88,12.6,78.7,2.08,3.81,54.7,0.12,0.48,25,0.12,0.06,0.05,0.06,0.71,1.07,0.54,0,1.37,19.8,17.5,2.26,0,0.06,0,0.3,0.06,0,0,0,0,13.6,0.06,0.6,1.61,1.6,1.01,0,0.06,0.3,0.18,0.06,0.36,0.36,0.24,0,0.06,0.06,0,0,0.54,0.36,0,0.36,0.18,0.24,1.19,20,0.95,0.71,0.3,0.42,0.3,0.83,0.77,0,32.7,1.13,2.02,15.3,15.8,4.94,32.6,2.02,0.65,32.4,1.13,55.9,17.3,70.6,26.6,1.01,1.01,0.77,3.33,1.25,23,5.71,0.18,0,0,1.49,1.61,1.07,0.3,0.3,0.36,0,0,0,2.98,2.14,2.5,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
32,eng ENG,Leicester City,24,1997,30.1,0.43,2.39,1.13,47.2,2.39,1.13,0.18,0.38,15.9,0,0,0,0.3,0.3,0.12,0.14,0.14,18.2,26.1,69.8,237.6,66.6,12.1,15.3,78.6,4.72,6.98,67.6,0.56,1.23,45.9,0.03,0.1,0.07,-0.07,0.63,1.3,1.03,0.17,2.62,26.1,25.5,0.33,0,0.17,0.03,1.46,0.27,0,0,0,0,18.2,0.23,1.03,2.09,2.09,1.43,0,0.1,0.3,0.23,0.03,0.47,0.46,0.27,0,0.03,0.07,0.07,0.03,0.86,0.47,0.27,0.47,0.13,0.47,1.4,33.3,0.93,1.06,0.03,1.03,0.27,1.13,0.4,0,38,0.56,4.25,14.5,19.9,4.42,38,3.02,0.9,29.7,1.76,58.2,24.4,171.9,91.3,3.32,2.39,1.59,2.49,1.4,29.9,8.54,0.1,0,0,1.26,1.23,0.3,1.46,0.27,0.47,0,0,0,3.36,0.96,1.89,33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
33,ie IRL,Southampton,20,2002,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,22.4,36.8,61,672.8,509,5.72,5.78,98.9,8,8.22,97.3,8.69,22.6,38.5,0,0,0,0,0.03,1.31,0.03,0,0.03,36.8,26.5,10.2,2.75,0,0.03,0,0,0,0,0,0,22.4,0.19,0,0.22,0.22,0.16,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0.03,0.03,100,0,0,0,0,0.03,0.06,0.75,0.06,39.2,28.4,38.6,0.59,0,0,39.2,0,0,,0,,23.3,115.6,64.8,0,0,0,0,0,18.7,0,0,0,0,0.03,0.06,0,0,0.03,0,0,0.03,0,1.22,0.41,0,100,1.75,0.03,0.03,0.22,0.13,1.1,0.28,-0.53,-0.53,6.63,19.7,33.7,29.2,4.5,50.2,38.1,7.41,67.5,50,14.3,1.13,7.9,1.5,1.5,15.1,GK
34,pl POL,Southampton,26,1996,18.6,0,0.43,0,0,0.43,0,0,,14.2,0,0,0,0.02,0.02,0.05,-0.02,-0.02,40.5,48.5,83.5,749.5,301.5,15.8,18.1,86.9,20.4,22.4,91.1,3.87,6.67,58.1,0,0.01,0.01,-0.01,0.16,1.77,0.05,0,2.42,48.5,45.6,2.8,1.88,0,0.16,0.05,0.65,0,0,0,0,40.5,0.05,0.43,0.38,0.38,0.27,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,1.45,1.13,1.08,0.38,0,0.65,0.86,75,0.22,2.04,1.45,0.59,2.63,4.09,4.68,0,60.6,11,34.1,24.7,1.99,0.75,60.6,0.11,0.05,50,0.05,50,31.1,143.6,84.9,0.43,0.05,0,0.11,0.05,32.5,0.11,0.27,0,0,0.81,0.38,0,0.05,2.63,1.13,0,0,0.05,5.27,2.15,0.86,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
35,de GER,Southampton,20,2001,20.9,0,0.67,0.1,14.3,0.67,0.1,0,0,16.1,0,0,0,0.05,0.05,0.07,-0.05,-0.05,35.8,44.8,79.9,668.9,216.3,13.9,15.6,89.2,18.4,20.3,90.6,3.21,7.61,42.1,0.1,0.05,0.02,0.05,0.29,1.53,0.19,0,1.87,44.8,43.4,1.34,1,0.05,0.43,0.19,0.24,0,0,0,0,35.8,0.05,0.57,0.67,0.67,0.33,0,0.05,0.14,0.1,0.05,0.1,0.1,0.05,0,0,0.05,0,0,1.77,0.81,1.34,0.43,0,0.72,0.96,75,0.24,1.39,0.57,0.81,2.11,3.88,5.26,0,57.9,10,31.3,24.8,2.2,1.05,57.9,0.53,0.19,36.4,0.14,27.3,33.3,170.8,90.9,0.43,0.57,0.1,0.43,0.29,32.6,0.1,0.19,0,0,0.43,1.58,0,0.19,2.11,0.81,0,0,0,6.94,1.91,1.34,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
36,dz ALG,West Ham,26,1995,23,0.26,3,1,33.3,3,1,0.03,0.09,21.9,0.22,0.17,0.17,0.3,0.17,0.06,-0.04,-0.08,26,34.6,75,354.5,90.8,16.3,18.5,88,7.65,10.5,73,1.09,2.65,41,0.13,0.2,0.14,-0.07,2.09,1.39,1,0.52,3.57,34.6,33.5,0.87,0.04,0.22,0.09,3.61,0.35,0.17,0.17,0,0,26,0.22,1.26,4,4,2.96,0.09,0.48,0.35,0.13,0,0.22,0.22,0.17,0,0.04,0,0,0,1.09,0.65,0.48,0.3,0.3,0.48,1.17,40.7,0.7,1,0.04,0.96,0.39,1.48,0.57,0,47.4,0.7,5.7,17.3,25.3,4.09,47.3,5.35,2.22,41.5,2.43,45.5,30.4,229.6,117.6,4.74,2.35,1.91,2.3,1.83,34.8,10.3,0,0,0,0.7,0.65,0.3,3.61,0.39,0.65,0,0,0,4.91,0.22,0.48,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
37,uy URU,Tottenham,25,1997,16.7,0.3,0.9,0.54,60,0.9,0.54,0.33,0.56,15.8,0,0,0,0.13,0.13,0.15,0.17,0.17,44.2,52.7,83.9,687.5,190.3,22,24.7,89.1,18,20.1,89.6,2.34,4.19,55.7,0.12,0.05,0.04,0.07,0.66,3.23,0.54,0.24,4.55,52.7,51,1.5,0.66,0.18,0.18,0.96,0.24,0.06,0,0,0,44.2,0.18,1.14,2.04,2.04,1.62,0,0.06,0.12,0.06,0.18,0.3,0.3,0.12,0,0,0.06,0,0.12,2.69,1.68,0.9,1.26,0.54,0.96,1.68,57.1,0.72,1.68,0.9,0.78,1.2,3.89,1.32,0,64.1,3.11,17.7,36.6,10.5,1.14,64.1,2.04,1.26,61.8,0.66,32.4,34.8,179.7,86.5,1.56,0.84,0.06,1.32,1.02,43.8,1.14,0.48,0,0,1.44,0.48,0,0.96,1.2,1.68,0,0,0,7.66,0.9,0.96,48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
38,dk DEN,Bournemouth,26,1996,30.7,0.23,1.24,0.59,47.4,1.24,0.59,0.18,0.39,18.3,0.16,0,0,0.16,0.16,0.13,0.07,0.07,26.5,34.4,77.1,385.1,103.1,15,17.7,84.9,8.37,10.3,81.1,1.47,3.06,47.9,0.03,0.1,0.08,-0.07,0.85,1.6,0.29,0.1,2.61,34.4,32.9,1.4,0.65,0.16,0.33,1.24,0.2,0.33,0.16,0.03,0,26.5,0.1,1.04,1.76,1.76,1.34,0.07,0.16,0.16,0.03,0,0.2,0.2,0.13,0,0,0.07,0,0,2.05,1.17,0.68,1.07,0.29,0.36,1.37,26.2,1.01,1.56,0.26,1.3,1.01,3.06,1.89,0.03,45.9,2.48,10.9,21.7,13.9,2.31,45.9,1.6,0.91,57.1,0.49,30.6,23.7,120.8,55.2,1.21,1.01,0.2,1.37,1.14,29.3,3.29,0.16,0,0,0.98,1.14,0.1,1.24,1.01,1.17,0,0,0,4.76,1.69,1.14,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
39,ml MLI,Tottenham,25,1996,11.2,0,0.54,0,0,0.53,0,0,,26.7,0,0,0,0.02,0.02,0.03,-0.02,-0.02,59.5,65.4,90.9,929.6,208.3,30.4,31.9,95.2,24.2,25.8,93.8,3.39,4.29,79.2,0,0.04,0.04,-0.04,0.71,4.91,0.45,0.09,5.54,65.4,63.8,1.43,0.98,0.09,0.45,0.18,0.09,0,0,0,0,59.5,0.27,1.07,2.59,2.58,2.14,0,0.09,0.09,0.09,0.18,0.09,0.09,0.09,0,0,0,0,0,1.43,1.16,0.54,0.54,0.36,0.18,0.63,28.6,0.45,1.34,0.54,0.8,1.07,2.5,0.89,0,73.8,2.05,14.6,47.9,11.3,0.18,73.8,0.8,0.63,77.8,0.18,22.2,45,246.5,102.1,1.25,1.16,0.09,1.43,0.71,54.7,0.89,0.54,0,0,1.52,0.89,0.09,0.18,1.07,1.16,0,0,0,6.07,0.54,1.07,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
40,nl NED,Newcastle Utd,22,2000,34.7,0,0.63,0.2,31.8,0.63,0.2,0,0,10.2,0,0,0,0.07,0.07,0.11,-0.07,-0.07,44,50.9,86.5,883.6,323.7,13.8,15.6,88.4,24.6,26.8,92,5.13,7.44,69,0,0.03,0.03,-0.03,0.26,1.7,0.12,0.03,2.51,50.9,49.5,1.21,0.92,0,0.86,0.03,0.12,0,0,0,0,44,0.17,0.2,0.69,0.69,0.52,0.03,0,0.14,0,0,0.03,0.03,0,0,0,0.03,0,0,1.1,0.69,0.89,0.2,0,0.63,0.81,78.6,0.17,1.27,0.69,0.58,0.98,2.07,3.63,0.06,59.8,9.74,34.2,23.1,2.74,1.53,59.8,0.03,0.03,100,0,0,33.7,151.6,81,0.23,0.14,0.06,0.29,0.06,38.8,0.14,0.06,0,0,0.43,0.35,0.06,0.03,0.98,0.69,0,0.03,0,5.24,2.16,1.15,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
41,eng ENG,West Ham,25,1996,35.9,0.17,2.03,0.58,28.8,2.03,0.58,0.07,0.24,16.2,0.03,0.03,0.06,0.25,0.22,0.11,-0.08,-0.08,15.4,24.5,62.7,243,71.1,8.69,10.7,81,4.74,6.27,75.6,1.45,4.57,31.7,0.14,0.21,0.17,-0.07,1.34,1.09,0.67,0.25,2.01,24.5,21.4,3.04,0.31,0.17,0.11,4.43,0.08,2.51,2.37,0,0,15.4,0.11,1.62,3.01,3.01,1.62,0.42,0.28,0.36,0.28,0.06,0.39,0.39,0.17,0.08,0,0.06,0.08,0,1.09,0.45,0.39,0.31,0.39,0.45,1.62,27.6,1.17,1.31,0.25,1.06,1,2.09,0.7,0,36.7,0.89,5.18,12.6,19.3,4.37,36.7,3.29,1,30.5,1.53,46.6,20.4,155,61.3,2.81,1.23,1.56,1.95,1.53,22.1,5.93,0.06,0,0,0.72,1.92,0.28,4.43,1,0.45,0.08,0.03,0,4.23,0.95,1.89,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
42,ar ARG,Aston Villa,25,1996,26.8,0.19,1.83,0.41,22.4,1.83,0.41,0.1,0.45,15.9,0.07,0,0,0.24,0.24,0.13,-0.05,-0.05,29.4,38.1,77.2,450.8,115.3,16.2,19.1,84.6,9.51,12.1,78.9,2.35,3.36,70,0.07,0.21,0.16,-0.14,1.53,3.13,1.53,0,5.15,38.1,35.6,2.35,0.26,0.41,0.26,0.67,0.26,0.19,0.07,0,0.04,29.4,0.11,1.42,3.36,3.36,2.69,0.07,0.3,0.11,0.15,0.04,0.37,0.37,0.26,0,0.04,0.07,0,0,1.94,0.86,0.75,0.75,0.45,0.78,2.76,28.4,1.98,0.75,0.07,0.67,0.75,2.69,0.63,0,49.9,1.42,7.54,23.7,19.3,3.47,49.9,2.2,1.01,45.8,0.97,44.1,30.9,147.6,73.5,2.24,1.72,0.71,2.35,2.16,35.6,5.11,0,0,0,1.6,1.64,0.04,0.67,0.75,0.86,0,0,0,5.15,0.86,2.01,29.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
43,es ESP,Wolves,19,2002,14.6,0,0.27,0.07,25,0.27,0.07,0,0,18.5,0,0,0,0.01,0.01,0.04,-0.01,-0.01,37.5,46.5,80.6,527.2,152.5,23.3,25.3,92.1,11.9,14.7,81.3,1.3,3.7,35.2,0.07,0.09,0.07,-0.02,1.1,1.64,0.68,0.41,2.67,46.5,36.7,9.59,0.62,0,0,4.11,7.74,1.23,0.14,1.1,0,37.5,0.21,1.44,2.05,2.06,1.51,0.48,0,0.07,0,0,0.07,0.07,0.07,0,0,0,0,0,2.26,1.1,1.58,0.41,0.27,1.16,2.26,51.5,1.1,0.96,0.07,0.89,0.68,2.95,2.47,0,57.2,3.63,21.8,18.8,17.1,0.96,57.2,2.33,0.96,41.2,0.96,41.2,27.1,185.9,97.4,3.56,1.99,0.27,1.1,0.75,30.5,4.38,0.07,0,0,0.48,0.48,0.07,4.11,0.68,1.1,0,0,0,6.16,0.68,1.16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
44,eng ENG,Newcastle Utd,30,1992,34.6,0.03,0.61,0.12,19,0.61,0.12,0.05,0.25,12.2,0,0,0,0.06,0.06,0.1,-0.03,-0.03,39.3,49.6,79.4,642.6,255.9,19.5,22.1,88,16.4,19.7,83,2.72,5.29,51.4,0,0.04,0.04,-0.04,0.46,2.95,0.32,0.06,3.41,49.6,41.5,7.95,0.49,0,0.2,0.49,7.43,0,0,0,0,39.3,0.09,0.84,1.16,1.16,1.01,0.06,0,0.09,0,0,0.09,0.09,0.09,0,0,0,0,0,1.73,1.1,0.84,0.66,0.23,0.98,1.94,50.7,0.95,1.21,0.46,0.75,0.92,2.66,3.47,0.06,59.9,4.57,22.7,27.2,10.3,1.79,59.9,0.72,0.32,44,0.35,48,26.8,125.1,63.5,0.84,0.64,0.14,0.98,0.26,32.3,1.33,0.14,0,0,1.01,0.12,0.2,0.49,0.92,1.1,0,0.03,0,4.8,2.43,1.07,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
45,ec ECU,Brighton,20,2001,34.9,0.03,0.8,0.23,28.6,0.8,0.23,0.04,0.13,23.9,0,0,0,0.05,0.05,0.06,-0.02,-0.02,57.1,64.5,88.5,864.7,230.3,31.9,34.4,92.5,19.6,21.6,90.5,3.61,4.56,79.2,0.03,0.08,0.07,-0.05,1.23,5.19,1,0.2,6.28,64.5,63.4,1.06,0.34,0.32,0.26,0.49,0.72,0,0,0,0,57.1,0,1.09,2.52,2.52,2.32,0,0.06,0.09,0.03,0.03,0.14,0.14,0.14,0,0,0,0,0,2.87,1.43,1.17,1.35,0.34,1.15,1.95,58.8,0.8,1.23,0.2,1.03,1.6,4.47,0.89,0.09,74.6,2.61,15.9,43.6,16,0.8,74.6,1.55,0.8,51.9,0.6,38.9,43.2,178.2,82.4,1.09,0.92,0.17,1.12,0.66,54.2,1.75,0.29,0,0,1.86,1.55,0,0.49,1.6,1.43,0,0,0,7.11,1.06,0.57,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
