Rk,Nation,Squad,Age,Born,90s,Gls,Sh.2,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,FianlThirdPass,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh.1,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd.1,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,FinalThirdPos,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Pos
11,eng ENG,Liverpool,23,1998,32.5,0.06,1.23,0.25,20,1.23,0.25,0.05,0.25,23.8,0.15,0,0,0.07,0.07,0.06,-0.01,-0.01,67.3,89.6,75.1,1279.7,502.2,30.8,34.6,89,25.3,32.2,78.7,10.2,19.8,51.6,0.28,0.35,0.28,-0.08,2.18,7.35,2.52,0.86,7.23,89.6,73.6,15.7,2.15,0.8,1.82,7.75,10.5,3.02,0.49,2.28,0.03,67.3,0.31,1.14,3.82,3.82,2.49,1.05,0.09,0.15,0.03,0,0.52,0.52,0.43,0.06,0.03,0,0,0,1.75,1.23,0.98,0.49,0.28,1.29,2.46,52.5,1.17,0.77,0.22,0.55,1.32,3.08,1.26,0.06,97.8,2.74,22.7,50.2,25.8,1.35,97.8,1.38,0.92,66.7,0.4,28.9,54.7,210.7,101.9,1.32,1.2,0.25,1.08,0.65,62.8,4.28,0.15,0,0,0.68,0.18,0.15,7.75,1.32,1.23,0,0,0,7.35,0.62,0.4,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
12,br BRA,Liverpool,29,1992,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,33.5,39.3,85.4,784.9,505.3,8.3,8.35,99.4,17.8,18,98.6,7.38,12.7,58.2,0.03,0.01,0,0.02,0.03,0.43,0,0,0.08,39.3,32.4,6.76,1.54,0,0.05,0,0,0,0,0,0,33.5,0.11,0.03,0.08,0.08,0.08,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0,0.08,0,0,0.54,0,41.5,30.4,40.5,1.05,0,0,41.5,0.05,0.05,100,0,0,26.6,125.8,80.1,0,0,0,0.03,0,24.4,0,0.03,0,0,0.03,0.14,0,0,0,0,0,0,0,1.92,0.3,0.03,91.7,1.16,0.05,0,0,0.05,1.38,0.33,0.27,0.27,3.14,7.65,41,33.9,5.68,18.4,26.9,5.22,26.9,31.3,10.7,0.62,5.8,2.41,2.41,19.8,GK
13,py PAR,Newcastle Utd,28,1994,27.7,0.4,2.49,0.72,29,2.49,0.72,0.16,0.55,16.4,0,0,0,0.29,0.29,0.12,0.11,0.11,29.3,35.5,82.6,388.2,95.9,18.5,20.5,90.5,8.05,9.96,80.8,1.05,1.44,72.5,0.07,0.12,0.11,-0.04,0.94,1.62,1.3,0.14,4.48,35.5,34.2,1.08,0,0.11,0.14,0.94,0.65,0.4,0,0,0,29.3,0.22,1.05,3.14,3.14,2.27,0.07,0.36,0.32,0.11,0,0.47,0.47,0.18,0.04,0.18,0.07,0,0,1.66,1.08,0.58,0.69,0.4,0.65,1.52,42.9,0.87,0.9,0.07,0.83,0.36,2.02,0.61,0,46.9,0.9,5.31,15.1,27.4,4.98,46.9,2.85,1.23,43,1.19,41.8,30.4,194.5,84.5,2.78,1.66,0.9,1.84,1.01,33.4,9.53,0.07,0,0,0.79,1.19,0.32,0.94,0.36,1.08,0,0,0,5.02,0.22,0.36,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
14,ar ARG,Manchester City,22,2000,16.3,0.55,2.82,1.23,43.5,2.83,1.23,0.17,0.4,16,0,0.06,0.06,0.43,0.38,0.13,0.12,0.11,24.2,30.9,78.5,335.7,54.3,14.2,16.6,85.9,6.32,8.28,76.3,1.72,2.64,65.1,0,0.11,0.1,-0.11,1.1,1.35,0.8,0.12,2.27,30.9,29.3,1.29,0.12,0.43,0.18,1.6,0.25,0.25,0.18,0,0,24.2,0.25,1.04,3.19,3.2,2.39,0,0.37,0.31,0.12,0,0.31,0.31,0.12,0,0.06,0.06,0.06,0,1.6,0.98,0.18,0.8,0.61,0.55,1.84,30,1.29,0.8,0,0.8,0.12,1.72,0.37,0,40.1,0.49,2.82,15.6,22.1,5.46,40.1,2.33,1.29,55.3,0.86,36.8,24.9,134.2,55.7,2.33,1.1,1.04,1.72,1.47,31,6.07,0,0,0,1.29,0.86,0.18,1.6,0.12,0.98,0.06,0,0,2.7,0.49,1.41,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
15,gh GHA,Leicester City,27,1994,17.9,0,0.34,0.11,33.3,0.34,0.11,0,0,17.4,0,0,0,0.06,0.06,0.18,-0.06,-0.06,56.7,62.2,91.1,978,368.2,24.7,26.4,93.4,27.8,29.4,94.7,3.46,5.08,68.1,0,0.03,0.02,-0.03,0.28,3.24,0.06,0,3.69,62.2,61,1.12,0.84,0.11,0.11,0,0.28,0,0,0,0,56.7,0.11,0.11,0.84,0.84,0.84,0,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0,1.06,0.45,0.73,0.28,0.06,0.67,0.78,85.7,0.11,1.34,0.95,0.39,0.45,1.51,3.97,0,71.5,10.3,36.8,32.3,2.57,0.5,71.5,0.28,0.11,40,0.11,40,43.5,207.8,127.1,1.28,0.61,0,0.45,0.22,50.8,0.28,0.06,0,0,0.39,0.17,0,0,0.45,0.45,0,0.06,0,6.03,1.9,1.45,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
16,dk DEN,Crystal Palace,26,1996,30.9,0.03,0.71,0.29,40.9,0.71,0.29,0.05,0.11,13.9,0.03,0,0,0.06,0.06,0.08,-0.03,-0.03,50.5,63.8,79.2,1180.4,450.2,11.2,12.7,88.5,30,32.6,92.1,9.09,17.3,52.6,0,0.04,0.03,-0.04,0.39,4.95,0.26,0.03,3.4,63.8,59.5,3.98,3.46,0.13,1.42,0.32,0.42,0.03,0,0,0,50.5,0.29,0.42,0.81,0.81,0.65,0.1,0,0,0.03,0.03,0.03,0.03,0,0.03,0,0,0,0,1.36,0.71,0.97,0.39,0,0.52,1.04,50,0.52,0.91,0.42,0.49,0.78,2.14,6.08,0.03,74.5,11.5,39.9,32.2,2.88,1.26,74.5,0.29,0.16,55.6,0.13,44.4,42.7,222.9,122.6,0.52,0.26,0.06,0.26,0.1,48.5,0.23,0.26,0,0,0.87,0.52,0.06,0.32,0.78,0.71,0,0,0.06,5.83,2.82,1.1,71.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
17,eng ENG,Bournemouth,22,1999,14,0.21,1.57,0.93,59.1,1.58,0.93,0.14,0.23,19.3,0.14,0,0,0.16,0.16,0.1,0.06,0.06,27.6,37.6,73.6,415.6,115,16.1,18.4,87.5,7.86,10.7,73.3,2.21,4.5,49.2,0.07,0.07,0.08,0,0.86,1.71,1.36,0.5,3.5,37.6,34.3,3.21,0.64,0.14,0.36,3.07,1.5,1,0.64,0.07,0.07,27.6,0.07,1.29,2.71,2.72,2,0.21,0.29,0.07,0.07,0.07,0.29,0.29,0.14,0,0.07,0,0.07,0,2.14,1.21,1.07,0.64,0.43,0.57,1.71,33.3,1.14,2.14,0.21,1.93,0.71,2.86,1.36,0,51.2,1.64,10.7,19.4,21.7,2.36,51.2,3.36,1.07,31.9,2.14,63.8,30.2,174.9,73.7,2.21,1.79,0.93,1.79,1.93,33.1,5.14,0.14,0,0,0.64,0.86,0.36,3.07,0.71,1.21,0,0,0,5.71,0.71,0.86,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
18,jm JAM,West Ham,32,1990,20.3,0.25,1.92,0.64,33.3,1.92,0.64,0.13,0.38,11.6,0,0,0,0.33,0.33,0.17,-0.08,-0.08,9.16,17.1,53.4,131.2,24.7,5.62,8.28,67.9,2.71,5.32,50.9,0.59,1.53,38.7,0.15,0.06,0.04,0.08,0.74,0.59,0.39,0.1,1.33,17.1,16.5,0.59,0.05,0.05,0.05,1.72,0.39,0,0,0,0,9.16,0.05,0.89,1.92,1.92,1.18,0,0.34,0.15,0.25,0,0.44,0.44,0.3,0,0.15,0,0,0,0.69,0.34,0.05,0.39,0.25,0.15,0.59,25,0.44,0.64,0.25,0.39,0.25,0.94,0.44,0,29.4,0.74,1.92,12.9,15.2,3.94,29.4,3.25,1.33,40.9,1.43,43.9,18.5,127.3,60.9,2.41,1.28,0.89,3.74,2.22,23.4,5.91,0.1,0,0,1.38,2.17,0.59,1.72,0.25,0.34,0,0.05,0,2.12,2.46,4.33,36.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
19,br BRA,Manchester Utd,22,2000,20,0.2,3.6,1.2,33.3,3.6,1.2,0.06,0.17,19.6,0,0,0,0.33,0.33,0.09,-0.13,-0.13,32.5,41,79.5,424.9,95.8,21.9,24.8,88.7,7.3,9.85,74.1,1.55,2.55,60.8,0.1,0.14,0.12,-0.04,1.4,1.45,1.65,0.1,3.7,41,40.2,0.75,0.05,0.15,0.1,1.6,0.65,0.05,0,0,0,32.5,0,1.45,3.7,3.69,3.05,0,0.25,0.15,0.2,0.05,0.35,0.35,0.3,0,0.05,0,0,0,1.1,0.45,0.45,0.45,0.2,0.4,1.4,28.6,1,0.9,0,0.9,0.55,1.65,0.3,0,53.3,0.6,6.7,17.4,30.4,4.25,53.3,3.85,1.5,39,1.9,49.4,38.1,239.2,128.4,4.75,3,1.6,1.85,0.6,40.6,8.4,0.25,0,0,0.75,1.25,0.1,1.6,0.55,0.45,0,0,0,4.95,0.25,0.95,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
20,ng NGA,Southampton,26,1996,13.6,0.15,1.03,0.59,57.1,1.03,0.59,0.14,0.25,10.9,0,0,0,0.11,0.11,0.11,0.04,0.04,20.6,28.3,72.7,264,66.7,13.8,17.6,77.9,4.85,6.4,75.9,0.66,0.88,75,0,0.06,0.04,-0.06,0.66,1.47,0.66,0,2.87,28.3,27.6,0.66,0,0,0,0.59,0.15,0,0,0,0,20.6,0,1.18,1.99,1.99,1.69,0,0.07,0.07,0.07,0.07,0.15,0.15,0.07,0,0.07,0,0,0,2.28,1.47,1.1,0.88,0.29,0.81,1.47,55,0.66,1.03,0.07,0.96,0.74,3.01,0.81,0,41.6,1.03,6.4,19.8,16.3,3.38,41.6,2.87,1.25,43.6,1.54,53.8,21.6,95.1,45.2,1.4,0.74,0.51,2.57,1.62,26,4.71,0.15,0,0,0.74,0.96,0,0.59,0.74,1.47,0,0,0,5.59,2.21,3.16,41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
