Rk,Player,Nation,Pos,Squad,Age,Born,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Minutes_90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,2024-01-03 00:00:00,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Live,Dead,TB,Sw,TI,CK,In,Out,Str,Blocks,SCA,SCA90,PassLive,PassDead,TO,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,GA,PKA,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
462,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,21,2002,0.42,1.55,0.7,45.5,1.55,0.71,0.27,0.6,14.8,0,0,0,0.2,0.2,0.12,0.23,0.23,7.1,20.7,27.5,75.4,317.3,119.3,10.8,13.9,77.8,7.04,8.45,83.3,1.69,1.97,85.7,0.14,0.08,0.06,0.06,1.27,2.25,1.69,0,3.94,0.42,0,0,1.69,1.27,0,0.28,0.42,0.14,0,0,0,4.37,0.99,1.13,46.7,25.6,1.41,0.28,0.28,0.28,0,0,0,0,0.99,3.24,3.25,2.54,0,0.42,0,0.56,0.57,0.28,0,0.14,0,0.14,0,1.13,0.42,0.28,0.42,0.28,18.2,1.55,1.55,1.55,0,40.7,1.41,3.24,2.39,51.5,1.69,36.4,21.1,3.1,0.85,2.39,1.55,26.1,4.23,,,,,,,,,,,,,,,,,,
463,Cristian Romero,ar ARG,DF,Tottenham,25,1998,0.16,0.77,0.29,37.5,0.77,0.29,0.21,0.56,10.5,0,0,0,0.11,0.11,0.14,0.05,0.05,31.0,77.1,84.1,91.7,1337.4,522.5,31.2,33.4,93.3,41.3,43.3,95.4,3.58,5.1,70.3,0,0.01,0.05,-0.01,0.23,6.1,0.45,0,5.77,0.23,0.03,0,1,0.77,0.03,0.1,1.42,1.29,0,0.06,0.03,6.1,2.81,1.26,69,79.2,4.74,0.19,0.13,0.45,0,0,0,0,0.77,1.13,1.13,0.9,0.06,0,0.06,0.06,0.06,0.03,0,0,0.03,0,0,2.13,1.13,0.81,0.19,1.03,72.7,0.77,3.55,3.42,0.03,94.3,11.5,1.06,0.16,62.5,0.03,12.5,63.1,1.03,0,0.39,0.13,66.8,0.26,,,,,,,,,,,,,,,,,,
464,Joe Rothwell,eng ENG,MF,Bournemouth,28,1995,0,0.47,0,0,0.47,0,0,,22.7,0,0,0,0.02,0.02,0.04,-0.02,-0.02,4.3,41.6,50.2,82.9,740.7,200.7,15.1,15.8,95.6,23.3,25.1,92.6,2.33,6.98,33.3,0,0.05,0.05,-0.05,0.93,4.65,0.23,0,4.65,0,0,0,0.93,0.47,0,2.79,0.7,0.47,0,0.23,0,7.44,0,0.47,0,45.1,4.65,0,0.23,0,1.86,1.4,0,0.23,0.7,2.79,2.8,1.4,0.7,0.23,0,0.23,0.23,0.23,0,0,0,0,0,1.63,0.93,0.47,0.23,0.47,25,0.47,2.33,0.47,0,58.4,1.86,0.23,1.63,53.8,0.93,30.8,32.6,1.4,0,1.16,0.47,36,0.7,,,,,,,,,,,,,,,,,,
465,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,30,1993,0,0.9,0.08,9.1,0.9,0.08,0,0,19.7,0,0,0,0.05,0.05,0.06,-0.05,-0.05,12.2,22,29.8,73.6,361.7,90.3,10.1,11.6,87.2,9.02,11.7,76.9,1.31,2.95,44.4,0,0.03,0.11,-0.03,0.49,1.39,1.07,0.16,2.79,0.08,0,0,0.74,1.15,0,0.9,0.74,0.41,0,0,0,4.43,0.98,1.56,38.7,27.7,1.97,0,0.57,0.66,0.16,0,0,0,1.07,1.56,1.55,0.98,0.08,0.16,0.08,0,0,0,0,0,0,0,0,1.07,0.49,0.49,0.08,0.41,55.6,0.66,1.8,1.31,0.25,39.4,2.46,1.23,0.74,56.3,0.49,37.5,19.3,0.82,0.41,0.98,1.31,22.1,1.23,,,,,,,,,,,,,,,,,,
466,José Sá,pt POR,GK,Wolves,30,1993,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,33.7,21.4,32.6,65.6,512.1,332.4,5.52,5.64,97.9,10.7,10.9,97.6,4.81,15.5,31,0.03,0,0,0.03,0.03,0.24,0,0,0.03,0.03,0,0,0,0.27,0,0,0,0,0,0,0,0.86,0.3,0,100,22.9,9.58,0,0.03,0,0,0,0,0,0.03,0.09,0.09,0.09,0,0,0,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.62,0.15,35.5,31.1,0,0.09,100,0,0,20.1,0,0.03,0.03,0.03,14.3,0,,,,,,,,,,,,,,,,,,
467,Dominic Sadi,eng ENG,FW,Bournemouth,19,2003,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.0,0,1,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,,0,,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
468,Bukayo Saka,eng ENG,FW,Arsenal,21,2001,0.49,3.15,0.96,30.4,3.14,0.96,0.1,0.32,16.3,0,0.19,0.19,0.48,0.33,0.11,0.02,-0.02,32.4,35.3,46.7,75.6,521.3,135.9,21.8,24.5,88.9,10.2,13.2,77.5,2.47,5.65,43.7,0.28,0.32,0.34,-0.05,2.81,1.2,2.25,0.37,3.89,0.12,0,0,1.27,2.13,0.25,5.59,0.46,1.08,0.03,0,0,4.78,0.71,1.11,39,42.1,4.26,0.12,0.09,0.37,3.67,3.06,0,0,1.54,5.8,5.8,4.23,0.8,0.31,0.06,0.65,0.65,0.49,0.06,0.03,0.03,0.03,0,2.04,0.68,0.74,0.62,0.8,44.1,1.27,2.5,0.74,0.03,60.2,1.14,8.36,1.51,40.2,1.67,44.3,37.7,4.78,2.22,1.73,1.64,43,15.7,,,,,,,,,,,,,,,,,,
469,Mohamed Salah,eg EGY,FW,Liverpool,31,1992,0.64,3.79,1.67,43.9,3.8,1.67,0.12,0.28,15.5,0.04,0.18,0.25,0.75,0.55,0.15,-0.11,-0.09,28.2,26.1,35.8,73,383.9,113.9,15.4,18.1,84.9,8.3,11.7,70.7,1.52,2.3,66.2,0.35,0.42,0.27,-0.06,2.34,1.99,2.41,0.21,5.21,0.07,0,0,0.43,0.92,0.6,1.45,0.07,0.39,0.04,0,0,2.98,0.21,0.5,30,34.3,0.99,0.64,0.11,0.71,0,0,0,0,1.49,4.93,4.94,3.65,0.07,0.25,0.04,0.71,0.71,0.5,0,0.07,0.11,0.04,0,0.6,0.04,0.28,0.28,0.21,28.6,0.64,0.67,0.04,0,48.2,0.14,8.55,0.96,35.1,1.74,63.6,34.6,3.48,2.34,2.73,2.09,39.6,12.1,,,,,,,,,,,,,,,,,,
470,William Saliba,fr FRA,DF,Arsenal,22,2001,0.05,0.26,0.08,30,0.26,0.08,0.2,0.67,10.5,0,0,0,0.04,0.04,0.16,0.01,0.01,38.0,69.3,75,92.4,1147.3,419.7,31.6,33.5,94.3,34.2,36.1,94.5,2.74,3.95,69.3,0.03,0.01,0.02,0.02,0.16,4.61,0.16,0.03,4.13,0.11,0,0,0.58,0.42,0,0.08,0.76,0.68,0,0.03,0,5.61,1.89,1.29,59.5,73.5,1.45,0.08,0.05,0.18,0,0,0,0,0.29,0.76,0.76,0.68,0,0.03,0,0.08,0.08,0.08,0,0,0,0,0,1.08,0.74,0.32,0.03,0.53,74.1,0.39,1.84,2.13,0.08,81.4,5.87,0.39,0.26,66.7,0.11,26.7,52.4,0.42,0.03,0.58,0.34,60.4,0.16,,,,,,,,,,,,,,,,,,
471,Albert Sambi Lokonga,be BEL,MF,Luton Town,23,1999,0.07,0.55,0.14,25,0.55,0.14,0.13,0.5,20.9,0,0,0,0.04,0.04,0.08,0.03,0.03,14.5,46.1,52.8,87.3,765.4,228.8,22,24,91.7,17.4,19.7,88.8,3.79,5.24,72.4,0.21,0.1,0.06,0.11,0.62,4.69,0.41,0.07,4.97,0.28,0,0,1.24,1.86,0,0.9,0.76,1.24,0,0,0,4.41,1.03,0.62,62.5,47.9,4.62,0.34,0.76,0.55,0.14,0.07,0.07,0,0.21,1.86,1.86,1.52,0,0,0.07,0.21,0.21,0.21,0,0,0,0,0,2,0.97,0.83,0.21,1.17,70.8,0.69,2.76,0.97,0,62,3.72,0.76,0.76,50,0.48,31.8,36.5,2,0.14,0.83,0.76,41.2,0.9,,,,,,,,,,,,,,,,,,
