Rk,Player,Nation,Pos,Squad,Age,Born,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Minutes_90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,2024-01-03 00:00:00,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Live,Dead,TB,Sw,TI,CK,In,Out,Str,Blocks,SCA,SCA90,PassLive,PassDead,TO,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,GA,PKA,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,0,0.15,0,0,0.15,0,0,,23.9,0,0,0,0,0,0.02,0,0,13.7,32.8,42.4,77.5,540.3,203.6,16.1,18.1,88.7,13.7,17.2,80,2.48,4.6,54,0.07,0.06,0.07,0.01,0.51,1.82,0.95,0.15,3.14,0.07,0,0,0.88,1.9,0.15,0.95,0.58,1.39,0,0.07,0,5.47,0.36,0.8,31.3,33.1,9.27,0.15,0.22,8.47,0,0,0,0,1.68,1.68,1.68,1.17,0.29,0,0,0.15,0.15,0.15,0,0,0,0,0,2.12,1.46,0.51,0.15,1.46,58.8,0.29,2.7,1.97,0,51.9,3.14,0.8,1.02,41.2,0.88,35.3,26.6,1.61,0.51,0.95,0.58,27.1,1.9,,,,,,,,,,,,,,,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.1,10,20,50,180,70,0,0,,10,10,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,10,0,0,10,0,0,0,0,0,10,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,60,50,0,0,,0,,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
3,Tyler Adams,us USA,MF,Bournemouth,24,1999,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1.3,45.4,54.6,83.1,748.5,201.5,26.9,30,89.7,13.8,18.5,75,4.62,6.15,75,0,0.08,0,-0.08,0.77,6.92,0,0,3.85,0,0,0,0,2.31,0,0.77,3.08,2.31,0,0,0,5.38,1.54,2.31,40,51.5,3.08,0,0.77,0.77,0,0,0,0,0,2.31,2.25,1.54,0.77,0,0,0,0,0,0,0,0,0,0,3.08,0.77,2.31,0,1.54,66.7,1.54,6.15,1.54,0,70,2.31,3.08,1.54,66.7,0,0,33.8,3.08,1.54,2.31,0,40,0.77,,,,,,,,,,,,,,,,,,
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,0.11,0.78,0.28,35.7,0.78,0.28,0.14,0.4,14.2,0,0,0,0.04,0.04,0.05,0.07,0.07,18.0,57.1,67.6,84.5,1167.2,442,15.4,17.1,90.2,34.8,38.8,89.7,6.39,9.83,65,0,0.01,0.02,-0.01,0.11,2.61,0.11,0,3.44,0.11,0,0,0.56,0.28,0,0.06,1.39,0.61,0,0,0,2.39,3.11,1.56,66.7,65.6,1.83,0.06,0.5,0.11,0,0,0,0,0.44,0.56,0.56,0.33,0,0,0,0,0,0,0,0,0,0,0,1.17,0.89,0.28,0,0.67,57.1,0.28,2.56,4.44,0,77.2,10.1,1.61,0.06,33.3,0,0,45.4,0.56,0.06,0.22,0.22,56.1,0.28,,,,,,,,,,,,,,,,,,
5,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,0.63,1.96,0.89,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,0.37,0.37,0.19,0.26,0.26,15.8,9.11,12.9,70.6,116.9,24.4,5.95,7.72,77,2.59,3.8,68.3,0.19,0.38,50,0,0.04,0.03,-0.04,0.89,0.57,0.25,0,1.46,0.06,0,0,1.71,1.01,0.82,0.32,0.38,0.06,0,0,0,2.15,2.72,2.72,50,12.8,0.06,0.06,0,0.06,0,0,0,0,0.32,1.96,1.97,1.2,0,0.32,0,0.32,0.32,0.13,0,0,0.19,0,0,0.25,0.06,0,0.19,0.06,8.3,0.7,0.63,1.58,0,29.2,1.71,5.19,1.14,26.9,2.91,68.7,16.8,1.01,0.82,3.92,2.15,21.3,6.96,,,,,,,,,,,,,,,,,,
6,Simon Adingra,ci CIV,FW,Brighton,21,2002,0.24,2.11,0.89,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,0.17,0.17,0.08,0.07,0.07,24.7,25.7,34,75.5,357.4,69.4,16.7,19.9,83.9,7.49,9.92,75.5,0.81,1.54,52.6,0.04,0.15,0.14,-0.11,1.34,0.69,1.34,0.45,2.02,0.12,0,0,1.17,0.77,0.69,3.08,0.77,0.81,0.04,0,0,4.78,0.32,0.49,40,33,0.93,0.28,0.08,0.61,0.2,0,0.04,0,1.17,3.12,3.12,2.06,0.04,0.53,0.08,0.16,0.16,0.12,0,0,0,0,0.04,1.82,0.93,0.45,0.45,0.77,45.2,1.21,2.59,0.89,0,46.9,1.46,6.19,2.02,40.7,2.59,52,31.3,4.49,2.55,1.94,1.13,32.2,11.3,,,,,,,,,,,,,,,,,,
7,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,0.05,0.68,0.15,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,0.07,0.07,0.11,-0.02,-0.02,20.6,45.8,57.1,80.1,964.6,427.4,16.3,17.5,93.1,21.9,23.9,91.7,6.94,14.4,48.1,0,0.01,0.02,-0.01,0.19,3.59,0.1,0,3.3,0.15,0.05,0.05,0.49,0.29,0,0.24,0.83,0.68,0,0.05,0,4.95,2.33,1.55,60,53.4,3.64,0.05,1.41,0.29,0,0,0,0,0.24,0.68,0.68,0.58,0.05,0,0,0,0,0,0,0,0,0,0,1.26,0.92,0.34,0,0.78,72.7,0.44,2.09,4.13,0.1,66.7,9.08,1.02,0.15,60,0.1,40,41.8,0.49,0,0.49,0.1,44.3,0.15,,,,,,,,,,,,,,,,,,
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.1,40,80,50,480,230,30,60,50,10,20,50,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,,80,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,110,10,0,0,,0,,40,0,0,0,0,60,10,,,,,,,,,,,,,,,,,,
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,0,2.31,0.51,22.2,2.32,0.52,0,0,20.4,0,0,0,0.13,0.13,0.05,-0.13,-0.13,3.9,38.5,47.9,80.2,629.5,161,19.5,22.8,85.4,15.1,17.7,85.5,2.56,3.59,71.4,0,0,0.03,0,0.26,3.08,0,0,6.41,1.03,0.26,0.26,2.31,1.54,0.26,1.54,0.51,2.31,0,0,0,7.69,0.77,0.77,50,46.9,1.03,0,0,0.51,0,0,0,0,2.05,2.31,2.3,2.31,0,0,0,0.77,0.77,0.77,0,0,0,0,0,3.33,1.28,1.54,0.51,2.05,47.1,0.77,3.85,1.03,0,61.5,1.54,2.05,1.79,53.8,1.28,38.5,38.5,4.87,1.03,2.05,2.82,43.3,5.13,,,,,,,,,,,,,,,,,,
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,0.07,0.65,0.17,26.3,0.65,0.17,0.11,0.4,11.9,0,0,0,0.11,0.11,0.17,-0.04,-0.04,29.4,25.3,33.6,75.4,431.3,171.3,11.4,13.1,87,11.7,14.4,81.8,1.8,4.66,38.7,0,0.03,0.02,-0.03,0.24,1.39,0.1,0.03,1.46,0.37,0.03,0.03,1.16,0.44,0.07,0.2,1.19,1.22,0,0,0,3.64,1.73,1.26,58,32.3,1.22,0.03,0.07,0.85,0,0,0,0,0.68,0.88,0.88,0.78,0,0,0,0.03,0.03,0,0,0,0.03,0,0,2.18,1.63,0.48,0.07,1.02,61.2,0.58,3.37,4.66,0.07,45.3,7.76,1.12,0.37,52.4,0.31,42.9,20.5,0.51,0.1,0.48,0.37,23.6,0.71,,,,,,,,,,,,,,,,,,
11,Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,0.05,0.59,0.05,9.1,0.59,0.05,0.09,1,26.6,0,0,0,0.02,0.02,0.02,0.04,0.04,18.8,32.1,42.7,75.2,511.2,213.4,17.4,19.9,87.7,11.5,15.1,76.4,2.39,5.27,45.5,0.05,0.05,0.05,0.01,0.59,3.09,0.69,0.32,3.62,0.16,0,0,0.96,1.33,0.11,1.49,0.96,1.65,0,0.05,0,5.16,0.85,0.64,57.1,34.5,7.98,0.11,0.11,7.34,0,0,0,0,0.9,2.02,2.02,1.33,0.27,0.16,0.05,0.05,0.05,0.05,0,0,0,0,0,2.5,1.65,0.64,0.21,1.54,70.7,0.85,3.46,2.71,0.05,54.2,3.3,0.69,1.44,60,0.74,31.1,26.3,2.82,0.59,1.28,0.53,28.7,2.02,,,,,,,,,,,,,,,,,,
12,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,0.08,0.93,0.31,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,0.13,0.13,0.14,-0.05,-0.05,25.9,38.8,45.9,84.5,538.5,151.9,24.2,26.6,91.1,11.5,13.3,86.3,1.47,2.78,52.8,0.04,0.09,0.07,-0.05,0.97,2.32,0.5,0.15,3.82,0.27,0,0,0.97,2.05,0.31,1.58,0.58,1.7,0.04,0.04,0,5.25,0.81,0.97,45.7,40.4,5.33,0.08,0.19,4.09,0.31,0.19,0.08,0,0.93,2.51,2.51,1.58,0.35,0.23,0,0.19,0.19,0.08,0,0,0,0.12,0,2.74,1.58,0.89,0.27,1.08,57.1,1,3.32,1.47,0,58.8,2.16,1.89,2.39,53.9,1.51,33.9,33.5,2.59,0.31,1.97,2.16,38.9,3.82,,,,,,,,,,,,,,,,,,
13,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,0.1,0.59,0.2,33.3,0.59,0.2,0.17,0.5,9.9,0,0,0,0.06,0.06,0.11,0.03,0.03,20.4,29.9,39.7,75.3,500.5,185.6,14.3,16.5,86.4,12.9,16.3,79.2,2.21,5.05,43.7,0.05,0.11,0.13,-0.06,0.59,2.75,0.49,0.15,2.99,0.25,0,0,1.23,0.49,0.05,1.08,1.23,1.03,0,0,0,2.94,3.09,1.13,73.3,35.8,3.87,0.05,0.44,3.19,0,0,0,0,0.54,1.32,1.33,1.18,0,0.05,0,0.15,0.15,0.15,0,0,0,0,0,1.86,1.23,0.44,0.2,1.13,63.9,0.74,3.09,3.87,0.05,51.1,5.49,2.84,0.49,83.3,0.1,16.7,22.7,1.08,0.25,0.78,0.29,27.6,1.52,,,,,,,,,,,,,,,,,,
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,0.07,0.54,0.18,33.3,0.54,0.18,0.13,0.4,17,0,0,0,0.07,0.07,0.13,0,0,27.9,78.1,83.7,93.4,1279.1,350.8,39.1,40.7,96,33.1,34.9,94.7,4.52,5.84,77.3,0,0.02,0.06,-0.02,0.47,7.67,0.54,0.07,5.3,0.14,0.04,0.04,0.61,0.68,0,0.32,0.82,1,0,0,0,5.09,0.97,0.97,50,81,2.54,0.14,0.54,0.97,0,0,0,0,0.36,1.97,1.97,1.61,0.04,0,0.14,0.14,0.14,0.14,0,0,0,0,0,1.51,0.57,0.65,0.29,0.79,56.4,0.57,2.33,2.51,0.11,91.2,5.84,0.97,0.07,50,0.07,50,58.7,1.65,0.11,0.5,0.32,71.1,1.29,,,,,,,,,,,,,,,,,,
15,Nathan Aké,nl NED,DF,Manchester City,28,1995,0.09,0.88,0.22,25,0.88,0.22,0.1,0.4,10.8,0,0,0,0.11,0.11,0.12,-0.02,-0.02,22.7,75.6,82.1,92.1,1153.7,384,38.9,40.6,95.8,33,35.1,94.2,1.89,3.74,50.6,0.09,0.05,0.05,0.04,0.44,6.52,0.22,0.04,5.11,0,0,0,0.44,0.79,0,0.48,0.62,0.7,0,0,0,5.24,2.03,1.23,62.2,76.8,5.2,0.04,0.13,3.57,0,0,0,0,0.62,1.59,1.59,1.23,0,0.09,0.04,0.26,0.26,0.13,0,0.04,0.09,0,0,1.15,0.66,0.35,0.13,0.57,65,0.66,1.76,2.38,0,89.3,4.63,1.67,0.22,50,0.13,30,56.4,1.06,0.04,0.35,0.09,66.4,0.79,,,,,,,,,,,,,,,,,,
16,Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.1,70,100,70,1300,300,30,30,100,30,40,75,10,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,100,0,0,0,,0,,90,0,0,0,0,90,0,,,,,,,,,,,,,,,,,,
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,0.13,1.97,0.33,17,1.96,0.33,0.06,0.38,24.4,0.21,0,0,0.11,0.1,0.05,0.02,0.03,23.9,65,86.3,75.3,1271.4,520.3,28.3,30.7,92.1,25.4,31.9,79.7,10.2,20.7,49.3,0.17,0.3,0.26,-0.13,2.68,8.45,2.38,0.75,8.58,0.25,0,0,0.38,0.38,0.08,7.03,1.3,1.09,0,0,0,7.36,0.33,0.25,57.1,71.3,14.5,0.92,1.34,8.28,2.97,0.42,2.18,0,0.96,5.27,5.27,3.35,1.38,0.21,0.08,0.29,0.29,0.17,0.13,0,0,0,0,1.63,1.09,0.46,0.08,1.13,31,0.84,2.93,2.01,0.21,96.1,3.14,1.42,1.17,53.8,0.88,40.4,52.3,1.88,0.29,1.13,0.25,62.4,4.06,,,,,,,,,,,,,,,,,,
18,Alisson,br BRA,GK,Liverpool,30,1992,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,28.0,35.2,40.8,86.3,765.3,469.5,8.5,8.54,99.6,21.3,21.7,98.4,5.25,10.1,51.8,0,0,0,0,0.04,0.29,0,0,0.18,0.04,0,0,0.04,0.18,0,0,0,0,0,0,0,1.29,0.21,0.07,75,35.1,5.5,0,0.18,0,0,0,0,0,0.11,0.39,0.39,0.36,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.14,42.7,26.9,0,0,,0,,30.4,0,0,0.14,0,27.3,0,,,,,,,,,,,,,,,,,,
19,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,0.14,1.91,0.56,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,0.21,0.21,0.11,-0.07,-0.07,21.5,31.1,37.3,83.4,419.7,85.9,19.1,21.2,90.1,9.67,11.6,83.2,0.98,1.77,55.3,0.05,0.12,0.11,-0.07,1.12,1.77,0.98,0.14,3.63,0.09,0,0,0.74,1.02,0.47,1.12,0.47,1.12,0,0,0,4.51,0.28,0.33,46.2,36.7,0.47,0.23,0,0.33,0.05,0,0,0,0.74,2.42,2.41,1.86,0.05,0.14,0,0.19,0.19,0.09,0.05,0,0.05,0,0,1.67,0.6,0.7,0.37,0.51,37.9,1.26,2.14,0.6,0,47.9,1.16,4,1.07,44.2,1.02,42.3,30.3,3.63,1.02,1.4,1.26,34.5,7.53,,,,,,,,,,,,,,,,,,
20,Edson Álvarez,mx MEX,MF,West Ham,25,1997,0.04,0.64,0.11,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,0.05,0.05,0.08,-0.01,-0.01,26.4,39.1,45.7,85.6,647.1,197.9,19.6,21.7,90.4,15.2,16.9,90.1,3.3,5,65.9,0.04,0.02,0.03,0.02,0.45,3.3,0.23,0.04,3.45,0.42,0,0,1.25,0.57,0.04,0.15,1.59,1.48,0,0.04,0,6.21,1.14,1.29,46.9,44.8,0.68,0.08,0.34,0.11,0,0,0,0,0.53,1.21,1.21,0.91,0,0.08,0.11,0.08,0.08,0.08,0,0,0,0,0,3.03,1.78,0.98,0.27,1.17,47,1.48,4.62,3.07,0,60.6,5.68,0.61,1.02,64.3,0.53,33.3,33.7,0.76,0.04,1.44,1.14,35.9,0.98,,,,,,,,,,,,,,,,,,
21,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,0.37,3.27,1.26,38.5,3.26,1.26,0.09,0.24,17.8,0.44,0.07,0.07,0.44,0.39,0.12,-0.07,-0.09,29.4,34.4,42.8,80.4,475.4,101.8,20.9,23.1,90.6,9.25,11.2,82.9,1.97,4.93,40,0.27,0.22,0.21,0.05,2.28,1.46,1.39,0.14,3.5,0.07,0,0,0.78,0.44,0.07,4.66,0.07,0.44,0.07,0,0,3.33,0.14,0.82,14.3,36.4,6.29,0.31,0.03,0.24,4.39,1.5,1.22,0.07,0.92,4.01,4.01,2.52,0.95,0.14,0,0.51,0.51,0.41,0.03,0,0,0.07,0,0.82,0.17,0.27,0.37,0.27,25,1.02,0.88,0.48,0.03,52.9,0.68,5.07,0.68,47.6,0.75,52.4,31.1,2.18,0.95,1.9,1.22,37.5,6.12,,,,,,,,,,,,,,,,,,
22,Zeki Amdouni,ch SUI,FW,Burnley,22,2000,0.23,2.21,0.97,43.8,2.21,0.97,0.08,0.19,17.8,0,0.05,0.05,0.27,0.23,0.1,-0.04,-0.05,21.7,18.2,23,79.2,287.1,53.1,9.95,12.2,81.5,6.5,7.42,87.6,1.11,1.61,68.6,0.05,0.06,0.06,-0.02,0.74,1.29,0.41,0,2.26,0.09,0,0,1.01,1.8,0.09,0.37,0.41,0.83,0.05,0,0,3.64,0.69,2.58,21.1,20.5,2.35,0.32,0.05,0,0.14,0,0,0,0.88,2.3,2.3,1.38,0,0.23,0.14,0.18,0.18,0.05,0,0.09,0,0.05,0,1.24,0.05,0.69,0.51,0.32,28,0.6,1.66,0.46,0,36.4,1.11,3.13,1.34,33,2.17,53.4,21.6,2.9,0.92,3.09,1.47,23.6,4.29,,,,,,,,,,,,,,,,,,
23,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,0,0.29,0,0,0.29,0,0,,26.1,0,0,0,0.01,0.01,0.02,-0.01,-0.01,10.4,55.6,63.8,87,991.2,264.1,23.5,26.3,89.1,25.4,28.5,89.2,5.38,6.44,83.6,0,0.03,0.04,-0.03,0.58,5.96,0.58,0.1,6.35,0.58,0,0,2.31,0.96,0,0.67,0.77,1.54,0,0,0,5.77,0.48,0.58,45.5,61.7,2.02,0,0.77,1.06,0,0,0,0,0.96,1.83,1.82,1.83,0,0,0,0.1,0.1,0.1,0,0,0,0,0,2.6,1.63,0.77,0.19,1.63,54.8,1.25,3.37,1.83,0.19,74,4.62,0.1,0.58,60,0.19,20,47,0.58,0,0.87,1.06,52.4,0.96,,,,,,,,,,,,,,,,,,
24,Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,0.05,0.55,0.21,38.1,0.55,0.21,0.1,0.25,12.8,0.03,0,0,0.04,0.04,0.08,0.01,0.01,37.9,45.7,58.3,78.4,999.3,387.9,12.9,14.7,87.3,25.1,27.5,91.3,7.41,14.4,51.4,0.08,0.07,0.06,0.01,0.53,4.51,0.45,0.21,3.88,0.18,0,0,1.13,0.61,0.03,0.82,1.08,0.92,0,0,0,5.09,2.35,1.21,65.9,54.7,3.19,0.18,0.82,0.21,0,0,0,0,0.58,1.24,1.24,1.08,0.03,0,0.05,0.13,0.13,0.13,0,0,0,0,0,1.48,0.87,0.55,0.05,0.77,74.4,0.4,2.56,5.46,0.03,68.8,8.89,1.16,0.37,60.9,0.16,26.1,36.1,0.55,0,0.29,0.16,42.3,0.26,,,,,,,,,,,,,,,,,,
25,Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,20,2002,0,1.67,0.35,21.1,1.67,0.35,0,0,14.5,0,0,0,0.13,0.13,0.08,-0.13,-0.13,11.4,32.5,40.4,80.4,442.2,116,21.1,24,88,9.47,11.4,83.1,0.7,2.37,29.6,0.18,0.17,0.11,0.01,1.32,1900-01-03 03:50:24,1.05,0,5,0.26,0,0,1.84,1.67,0.09,1.67,0.7,1.58,0,0,0,5.26,1.67,1.05,61.3,37.8,2.54,0.35,0.09,2.19,0.09,0,0,0,0.79,2.98,2.98,2.46,0,0.35,0,0.26,0.26,0.26,0,0,0,0,0,2.11,1.05,0.79,0.26,1.32,51.7,1.67,2.81,2.02,0,56.1,2.02,4.04,1.84,48.8,1.58,41.9,31.9,3.25,0.35,2.46,1.93,36.5,6.14,,,,,,,,,,,,,,,,,,
26,Jaidon Anthony,eng ENG,FW,Bournemouth,23,1999,0,1.18,0.59,50,1.18,0.59,0,0,24.5,0,0,0,0.06,0.06,0.03,-0.06,-0.06,1.7,17.6,26.5,66.7,266.5,81.8,10,11.8,85,5.88,8.24,71.4,0.59,3.53,16.7,0,0,0,0,0,1.76,0.59,0,4.71,0.59,0,0,2.35,1.18,1.18,1.18,0.59,0.59,0,0,0,6.47,0.59,1.76,25,24.7,1.76,0,0,0,0.59,0,0,0,1.76,1.76,1.78,1.18,0,0.59,0,0,0,0,0,0,0,0,0,1.76,0.59,0,1.18,0.59,14.3,1.76,2.35,1.76,0,40.6,1.18,2.35,1.18,33.3,1.76,50,21.2,1.18,0,2.94,1.18,23.5,5.29,,,,,,,,,,,,,,,,,,
27,Michail Antonio,jm JAM,FW,West Ham,33,1990,0.32,1.6,0.74,46.7,1.59,0.74,0.2,0.43,13.1,0,0,0,0.31,0.31,0.19,0.01,0.01,18.8,9.57,16.4,58.4,140.2,33.3,5.9,8.19,72.1,2.55,4.79,53.3,0.69,1.38,50,0.11,0.05,0.07,0.06,0.43,0.69,0.37,0.11,1.17,0.32,0,0,1.33,1.49,0.48,1.44,0.21,0.43,0,0,0,2.93,1.76,2.82,38.4,15.3,0.96,0.16,0.21,0.59,0,0,0,0,1.17,1.76,1.75,0.96,0.05,0.27,0.11,0.27,0.27,0.21,0,0.05,0,0,0,0.8,0.27,0.32,0.21,0.16,27.3,0.69,1.01,0.21,0,28,0.37,3.14,1.54,46.8,1.38,41.9,18.4,2.55,1.01,3.67,2.07,21.2,5.53,,,,,,,,,,,,,,,,,,
28,Antony,br BRA,FW,Manchester Utd,23,2000,0.07,2.93,1.02,34.9,2.92,1.02,0.02,0.07,18.9,0,0,0,0.23,0.23,0.08,-0.16,-0.16,14.7,31.8,40.5,78.7,420.1,109.4,20.1,23.7,84.8,8.84,10.4,85,1.09,2.04,53.3,0.07,0.19,0.13,-0.12,1.5,1.77,1.97,0.2,4.35,0.34,0,0,1.29,2.18,0.14,1.09,0.82,1.43,0.07,0.07,0,6.53,0.14,1.43,8.7,38.8,1.5,0.2,0.07,1.02,0,0,0,0,1.56,3.74,3.74,3.06,0.07,0.14,0.2,0.2,0.2,0.07,0,0,0,0,0.14,2.72,1.02,1.29,0.41,1.36,50,1.9,3.54,0.61,0,55.4,1.16,3.95,1.77,36.6,2.24,46.5,37.3,3.61,1.56,1.77,1.29,38.8,10.1,,,,,,,,,,,,,,,,,,
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,19,2004,0,0.1,0.1,100,0.1,0.1,0,0,16.6,0,0,0,0,0,0.04,0,0,10.5,33.2,41.7,79.7,561.3,170.3,16.5,19,86.5,13.9,15.8,88,2.48,4.76,52,0,0.07,0.09,-0.07,1.05,3.52,0.57,0,4.1,0.19,0,0,0.95,1.14,0,0.67,1.43,1.33,0,0,0.1,4.95,0.86,1.43,37.5,38.7,2.76,0,0.19,0,0.57,0.29,0,0,0.76,2.19,2.2,1.81,0.19,0,0.1,0.19,0.19,0.1,0,0,0.1,0,0,2.19,1.05,0.76,0.38,0.67,46.7,0.95,3.62,0.86,0,52.5,2.95,0.38,1.62,68,0.57,24,26.4,1.24,0.29,1.24,0.76,29.8,0.38,,,,,,,,,,,,,,,,,,
30,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,22,2001,0.2,2.06,0.44,21.4,2.06,0.44,0.1,0.44,16.7,0,0,0,0.27,0.27,0.14,-0.07,-0.07,20.4,13,16.3,80.1,159.1,23.1,8.38,10.1,82.6,3.14,3.38,92.8,0.25,0.44,55.6,0.05,0.14,0.07,-0.09,1.13,0.54,0.34,0.1,0.74,0.05,0,0,0.69,0.98,0.64,0.25,0.05,0.64,0,0,0,3.04,0.34,2.06,14.3,15.2,1.08,0.1,0.05,0,0,0,0,0,0.74,2.4,2.41,1.57,0,0.44,0.1,0.2,0.2,0.1,0,0.05,0.05,0,0,0.88,0.29,0.29,0.29,0.39,44.4,0.93,0.93,0.54,0,27.6,0.64,3.38,1.47,49.2,1.42,47.5,16.9,1.62,1.08,2.99,2.21,18.9,5.54,,,,,,,,,,,,,,,,,,
31,Cameron Archer,eng ENG,MF,Aston Villa,22,2001,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.1,50,60,83.3,420,0,50,60,83.3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,70,0,0,0,,0,,50,10,0,10,0,70,0,,,,,,,,,,,,,,,,,,
32,Alphonse Areola,fr FRA,GK,West Ham,30,1993,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,30.0,18.7,28.9,64.8,593.3,430.6,2.47,2.53,97.4,8.17,8.2,99.6,8.03,17.9,44.8,0,0,0,0,0,0.27,0,0,0.03,0.03,0,0,0.07,0.1,0,0,0.03,0.03,0,0.07,0.03,0.5,0.33,0.03,90.9,18.5,10.2,0,0.07,0,0,0,0,0,0,0.07,0.07,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0.03,33.3,0,0.07,0.53,0,32.5,27.8,0,0.03,100,0,0,16.6,0,0,0,0,11.5,0,,,,,,,,,,,,,,,,,,
33,Lorenz Assignon,tg TOG,DF,Burnley,23,2000,0.07,0.66,0.29,44.4,0.66,0.29,0.11,0.25,22.1,0,0,0,0.03,0.03,0.04,0.04,0.04,13.7,25.7,35.4,72.6,395,144.8,13.3,16.4,80.9,11.1,14.2,78.4,0.73,2.26,32.3,0.15,0.19,0.12,-0.04,0.95,1.17,0.73,0.36,2.48,0.36,0.07,0.07,2.41,1.17,0.07,2.12,1.39,1.24,0,0.15,0,4.89,0.95,1.24,43.3,27.6,7.59,0,0,7.37,0,0,0,0,1.39,1.68,1.68,1.31,0.22,0.07,0,0.15,0.15,0.15,0,0,0,0,0,2.55,1.31,0.95,0.29,1.02,51.9,1.09,3.94,3.14,0.07,48.9,3.36,2.19,0.95,40.6,1.24,53.1,20.7,2.77,0.88,1.97,0.95,22.1,4.16,,,,,,,,,,,,,,,,,,
